Anno,Athlete,count,Type
1900,Ramón Fonst,1,Silver
1904,Manuel Díaz,2,Gold
1904,Ramón Fonst,3,Gold
1948,Carlos de Cardenas culmell,1,Silver
1948,Carlos de Cardenas Pla,1,Silver
1964,Enrique Figuerola Camue,1,Silver
1968,Enrique Figuerola Camue,1,Silver
1968,Enrique Requeiferos Blanco,1,Silver
1968,Fulgencia Romay Martinez,1,Silver
1968,Hermes Julian Ramirez Limonta,1,Silver
1968,Juan Morales Hachavarria,1,Silver
1968,Marlene Elejalde Diaz,1,Silver
1968,Miguelina Cobian Hechevarria,1,Silver
1968,Pablo Montes Casanova,1,Silver
1968,Rolando Garbey,1,Silver
1968,Violeta Quesada,1,Silver
1972,Alejandro Urgelles Guibot,1,Bronze
1972,Carmen Valdes Capote,1,Bronze
1972,Conrado Perez Armenteros,1,Bronze
1972,Douglas Rodríguez Guardiola,1,Bronze
1972,Emilio Correa Vaillant,1,Gold
1972,Fulgencia Romay Martinez,1,Bronze
1972,Franklin Standard Johnson,1,Bronze
1972,Gilberto Carrillo Quesada,1,Silver
1972,José Miguel Alvarez Pozo ,1,Bronze
1972,Juan Carlos Domecq Fortuondo,1,Bronze
1972,Juan Roca Brunet,1,Bronze
1972,Marlene Elejalde Diaz,1,Bronze
1972,Miguel Calderon Gomez,1,Bronze
1972,Orlando Martinez Romero,1,Gold
1972,Oscar Varona Varona,1,Bronze
1972,Pedro Chappe Garcia,1,Bronze
1972,Rafael Canizares Poey,1,Bronze
1972,Ruperto Herrera Tabio,1,Bronze
1972,Tomas Herrera Martinez,1,Bronze
1972,Silvia Chivás Barro,2,Bronze
1972,Teófilo Stevenson,1,Gold
1976,Alberto Juantorena,2,Gold
1976,Alejandro Casañas,1,Silver
1976,Antonio Rodriguez Aguirre,1,Bronze
1976,Andrés Aldama Cabrera,1,Silver
1976,Alfredo Figueredo Ricardo,1,Bronze
1976,Carlos Salas Perez,1,Bronze
1976,Diego Lapera Sotolongo,1,Bronze
1976,Ernesto Martinez Hernandez,1,Bronze
1976,Héctor Rodriguez Torres,1,Gold
1976,Jorge Hernandez Padron,1,Gold
1976,Jorge Perez Vento Machado,1,Bronze
1976,Jesus Savigne Savigne,1,Bronze
1976,Lorenzo Martinez Cordero,1,Bronze
1976,Luis Felipe Martinez Sanchez,1,Bronze
1976,Leonel Marshall Steward,1,Bronze
1976,Ramón Duvalón Carrion,1,Silver
1976,Raul Vilches More,1,Bronze
1992,Giorge Diaz Loren,1,Gold
1976,Rolando Garbey,1,Bronze
1976,Victor Garcia Campos,1,Bronze
1976,Victoriano Sarmientos Bios,1,Bronze
1976,Sixto Soria Cabrera,1,Silver
1976,Teófilo Stevenson,1,Gold
1976,Angel Herrera Vera,1,Gold
1980,Adolfo Horta,1,Silver
1980,Alberto Blanco Fernandez,1,Bronze
1980,Alejandro Casañas,1,Silver
1980,Andrés Aldama Cabrera,1,Gold
1980,Armando Martínez,1,Gold
1980,Daniel Núñez Aguilar,1,Gold
1980,Hipólito Ramos,1,Silver
1980,Isaac Azcuy Oliva,1,Silver
1980,José Aguilar,1,Bronze
1980,José Gómez,1,Gold
1980,José Rodríguez,1,Silver
1980,Juan Ferrer,1,Silver
1980,Juan Bautista Hernández Pérez,1,Gold
1980,Luis Delís,1,Bronze
1980,María Colón,1,Gold
1980,Ricardo Rojas,1,Bronze
1980,Roberto Castrillo Garcia,1,Bronze
1980,Silvio Leonard Sarria,1,Silver
1980,Teofilo Stevenson,1,Gold
1980,Angel Herrera Vera,1,Gold
1992,Alejandro Puerto Diaz,1,Gold
1992,Alejandrina Luis,1,Gold
1992,Amarilys Savon,1,Bronze
1992,Ana Fidelia Quirot,1,Bronze
1992,Antonio Pacheco,1,Gold
1992,Ariel Hernandez Ascuy,1,Gold
1992,Andres Simon,1,Bronze
1992,Driulis Gonzalez,1,Bronze
1992,Ermidelio Urrutia Quiroga,1,Gold
1992,Elvis Gregory,1,Bronze
1992,Estela Rodriguez Villanueva,1,Silver
1992,Israel Hernandez Plana,1,Bronze
1992,Guillermo Betancourt Scull,1,Silver
1992,Félix Savón,1,Gold
1992,German Mesa Fresneda,1,Gold
1996,Omar Linares,1,Gold
1992,Hector Herrera Ortiz,1,Silver
1992,Hector Milian Perez,1,Gold
1992,Héctor Vinent,1,Gold
1992,Henry Alberto Cadenas,1,Gold
1992,Hermenegildo Garcia Marturell,1,Silver
1992,Ioamnet Quintero,1,Bronze
1992,Joel Isasi,1,Bronze
1992,Joel Lamela,1,Bronze
1992,Jorge luis Aguilera Ruiz,1,Bronze
